"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG/SF","Brandon Ingram",6700,"LAL@NY 12/12/2017 07:00PM ET",30.03,"LAL"
"PF/C","Paul Millsap",6600,"DEN@DET 12/12/2017 07:00PM ET",31.828,"DEN"
"SF/PF","Tobias Harris",6600,"DEN@DET 12/12/2017 07:00PM ET",30.721,"DET"
"PG","Lonzo Ball",6600,"LAL@NY 12/12/2017 07:00PM ET",32.23,"LAL"
"PG","Isaiah Thomas",6500,"ATL@CLE 12/12/2017 07:00PM ET",0,"CLE"
"PG","Jeff Teague",6500,"PHI@MIN 12/12/2017 09:30PM ET",31.696,"MIN"
"PF/C","Enes Kanter",6400,"LAL@NY 12/12/2017 07:00PM ET",30.359,"NY"
"SG/SF","Tim Hardaway Jr.",6300,"LAL@NY 12/12/2017 07:00PM ET",31.238,"NY"
"SF/PF","Harrison Barnes",6300,"SA@DAL 12/12/2017 08:30PM ET",32.38,"DAL"
"SF/PF","Robert Covington",6200,"PHI@MIN 12/12/2017 09:30PM ET",31.49,"PHI"
"PG/SG","Spencer Dinwiddie",6100,"WAS@BKN 12/12/2017 07:30PM ET",27.45,"BKN"
"SF/PF","Andrew Wiggins",6000,"PHI@MIN 12/12/2017 09:30PM ET",29.269,"MIN"
"PF/C","Taj Gibson",6000,"PHI@MIN 12/12/2017 09:30PM ET",26.694,"MIN"
"PG","Reggie Jackson",5900,"DEN@DET 12/12/2017 07:00PM ET",28.394,"DET"
"SF/PF","Rondae Hollis-Jefferson",5800,"WAS@BKN 12/12/2017 07:30PM ET",27.136,"BKN"
"SF/PF","Rudy Gay",5800,"SA@DAL 12/12/2017 08:30PM ET",24.68,"SA"
"SG/SF","Courtney Lee",5700,"LAL@NY 12/12/2017 07:00PM ET",24.481,"NY"
"PF/C","Pau Gasol",5700,"SA@DAL 12/12/2017 08:30PM ET",28.865,"SA"
"PF/C","Dario Saric",5700,"PHI@MIN 12/12/2017 09:30PM ET",25.19,"PHI"
"SG/SF","Caris LeVert",5600,"WAS@BKN 12/12/2017 07:30PM ET",24.15,"BKN"
"SG/SF","Buddy Hield",5600,"PHO@SAC 12/12/2017 10:00PM ET",22.625,"SAC"
"PG/SG","Jamal Murray",5500,"DEN@DET 12/12/2017 07:00PM ET",22.644,"DEN"
"SF/PF","DeMarre Carroll",5500,"WAS@BKN 12/12/2017 07:30PM ET",27.761,"BKN"
"PF/C","John Collins",5500,"ATL@CLE 12/12/2017 07:00PM ET",24.202,"ATL"
"SG","Kentavious Caldwell-Pope",5500,"LAL@NY 12/12/2017 07:00PM ET",27.489,"LAL"
"SG/SF","Taurean Prince",5400,"ATL@CLE 12/12/2017 07:00PM ET",25.99,"ATL"
"SG/SF","J.J. Redick",5400,"PHI@MIN 12/12/2017 09:30PM ET",27.24,"PHI"
"PG/SG","Dwyane Wade",5300,"ATL@CLE 12/12/2017 07:00PM ET",24.635,"CLE"
"SG/SF","Kent Bazemore",5300,"ATL@CLE 12/12/2017 07:00PM ET",26.99,"ATL"
"SF/PF","Kyle Kuzma",5300,"LAL@NY 12/12/2017 07:00PM ET",28.083,"LAL"
"PF/C","Willie Cauley-Stein",5300,"PHO@SAC 12/12/2017 10:00PM ET",23.946,"SAC"
"PG/SG","Avery Bradley",5200,"DEN@DET 12/12/2017 07:00PM ET",24.846,"DET"
"PF/C","Kenneth Faried",5200,"DEN@DET 12/12/2017 07:00PM ET",15.761,"DEN"
"C","Marcin Gortat",5200,"WAS@BKN 12/12/2017 07:30PM ET",25.471,"WAS"
"C","Dewayne Dedmon",5200,"ATL@CLE 12/12/2017 07:00PM ET",25.038,"ATL"
"SF/PF","Ersan Ilyasova",5200,"ATL@CLE 12/12/2017 07:00PM ET",20.133,"ATL"
"PG/SG","Dennis Smith Jr.",5200,"SA@DAL 12/12/2017 08:30PM ET",26.967,"DAL"
